pull,fight_id,duration_s,boss_pct,total_damage,dps,crit,haste,mastery,vers,agi,ilvl,trinkets,world_tender,world_tender_count,arcanoweave_items,arcanoweave_count,arcanoweave_proc,embellish_8791_items,embellish_8791_count,food_removed_on_death,augment_removed_on_death,potion_uses,potion_first_s,flask_event,head,shoulder,chest,belt,boots,wrist,back,gear_fingerprint,highest_secondary
11,15,254.8,53.34,35734861,140232.9,996,675,1350,53,2110,291,광휘의 꽁지깃+알른 선견자의 응시,WT belt+WT boots,2,,0,0,,0,,True,1,75.0,,"Primal Sentry's Maw (249988, 289)","Pauldrons of the Void Hunter (151323, 289)","Primal Sentry's Scaleplate (249991, 289)","World Tender's Barkclasp (244611, 285)","World Tender's Rootslippers (244610, 285)","Fallen King's Cuffs (249304, 289)","Draconic Nullcape (249370, 289)",249988|240950|151323|167223|249991|244611|249987|244610|249304|249989|249919|193708|249806|249343|249370|249279|0|233290,mastery
12,18,342.4,39.55,43779919,127847.0,817,635,1595,0,2112,291,광휘의 꽁지깃+알른 선견자의 응시,,0,belt+back,2,18,belt,1,,False,1,73.5,,"Primal Sentry's Maw (249988, 289)","Pauldrons of the Void Hunter (151323, 289)","Primal Sentry's Scaleplate (249991, 289)","Farstrider's Trophy Belt (244581, 285)","Grudgefiend Stompers (268287, 298)","Fallen King's Cuffs (249304, 289)","Adherent's Silken Shroud (239656, 285)",249988|240950|151323|167223|249991|244581|249987|268287|249304|249989|193708|249369|249806|249343|239656|249288|0|233290,mastery
13,19,182.8,65.67,27650487,151224.5,817,635,1595,0,2112,291,광휘의 꽁지깃+알른 선견자의 응시,,0,belt+back,2,14,belt,1,,False,1,74.1,,"Primal Sentry's Maw (249988, 289)","Pauldrons of the Void Hunter (151323, 289)","Primal Sentry's Scaleplate (249991, 289)","Farstrider's Trophy Belt (244581, 285)","Grudgefiend Stompers (268287, 298)","Fallen King's Cuffs (249304, 289)","Adherent's Silken Shroud (239656, 285)",249988|240950|151323|167223|249991|244581|249987|268287|249304|249989|193708|249369|249806|249343|239656|249288|0|233290,mastery
14,20,202.6,61.51,29788274,147005.3,817,635,1595,0,2112,291,광휘의 꽁지깃+알른 선견자의 응시,,0,belt+back,2,14,belt,1,,False,1,74.3,,"Primal Sentry's Maw (249988, 289)","Pauldrons of the Void Hunter (151323, 289)","Primal Sentry's Scaleplate (249991, 289)","Farstrider's Trophy Belt (244581, 285)","Grudgefiend Stompers (268287, 298)","Fallen King's Cuffs (249304, 289)","Adherent's Silken Shroud (239656, 285)",249988|240950|151323|167223|249991|244581|249987|268287|249304|249989|193708|249369|249806|249343|239656|249288|0|233290,mastery
15,21,162.2,69.41,25840697,159341.3,817,635,1595,0,2112,291,광휘의 꽁지깃+알른 선견자의 응시,,0,belt+back,2,13,belt,1,,False,1,74.0,,"Primal Sentry's Maw (249988, 289)","Pauldrons of the Void Hunter (151323, 289)","Primal Sentry's Scaleplate (249991, 289)","Farstrider's Trophy Belt (244581, 285)","Grudgefiend Stompers (268287, 298)","Fallen King's Cuffs (249304, 289)","Adherent's Silken Shroud (239656, 285)",249988|240950|151323|167223|249991|244581|249987|268287|249304|249989|193708|249369|249806|249343|239656|249288|0|233290,mastery
16,22,396.4,25.23,55280532,139454.3,817,635,1595,0,2112,291,광휘의 꽁지깃+알른 선견자의 응시,,0,belt+back,2,17,belt,1,Hearty Well Fed,False,1,74.0,,"Primal Sentry's Maw (249988, 289)","Pauldrons of the Void Hunter (151323, 289)","Primal Sentry's Scaleplate (249991, 289)","Farstrider's Trophy Belt (244581, 285)","Grudgefiend Stompers (268287, 298)","Fallen King's Cuffs (249304, 289)","Adherent's Silken Shroud (239656, 285)",249988|240950|151323|167223|249991|244581|249987|268287|249304|249989|193708|249369|249806|249343|239656|249288|0|233290,mastery
17,23,541.2,8.42,72017938,133071.3,817,635,1595,0,2112,291,광휘의 꽁지깃+알른 선견자의 응시,,0,belt+back,2,31,belt,1,,False,2,75.5,,"Primal Sentry's Maw (249988, 289)","Pauldrons of the Void Hunter (151323, 289)","Primal Sentry's Scaleplate (249991, 289)","Farstrider's Trophy Belt (244581, 285)","Grudgefiend Stompers (268287, 298)","Fallen King's Cuffs (249304, 289)","Adherent's Silken Shroud (239656, 285)",249988|240950|151323|167223|249991|244581|249987|268287|249304|249989|193708|249369|249806|249343|239656|249288|0|233290,mastery
18,24,206.6,61.05,30029663,145364.4,817,635,1595,0,2118,291,광휘의 꽁지깃+알른 선견자의 응시,,0,belt+back,2,15,belt,1,,True,1,74.1,,"Primal Sentry's Maw (249988, 289)","Pauldrons of the Void Hunter (151323, 289)","Primal Sentry's Scaleplate (249991, 289)","Farstrider's Trophy Belt (244581, 285)","Grudgefiend Stompers (268287, 298)","Fallen King's Cuffs (249304, 289)","Adherent's Silken Shroud (239656, 285)",249988|240950|151323|167223|249991|244581|249987|268287|249304|249989|193708|249369|249806|249343|239656|249288|0|233290,mastery
19,25,362.7,35.62,48994555,135072.8,952,634,1435,0,2112,291,광휘의 꽁지깃+알른 선견자의 응시,,0,belt+back,2,22,belt,1,,False,1,74.2,,"Primal Sentry's Maw (249988, 289)","Pauldrons of the Void Hunter (151323, 289)","Primal Sentry's Scaleplate (249991, 289)","Farstrider's Trophy Belt (244581, 285)","Grudgefiend Stompers (268287, 298)","Fallen King's Cuffs (249304, 289)","Adherent's Silken Shroud (239656, 285)",249988|240950|151323|167223|249991|244581|249987|268287|249304|249989|193708|249919|249806|249343|239656|249279|0|233290,mastery
20,26,208.7,61.64,30715332,147192.2,952,634,1435,0,2112,291,광휘의 꽁지깃+알른 선견자의 응시,,0,belt+back,2,6,belt,1,,False,1,74.0,,"Primal Sentry's Maw (249988, 289)","Pauldrons of the Void Hunter (151323, 289)","Primal Sentry's Scaleplate (249991, 289)","Farstrider's Trophy Belt (244581, 285)","Grudgefiend Stompers (268287, 298)","Fallen King's Cuffs (249304, 289)","Adherent's Silken Shroud (239656, 285)",249988|240950|151323|167223|249991|244581|249987|268287|249304|249989|193708|249919|249806|249343|239656|249279|0|233290,mastery
