rank,character,guild,server,region,dps,ilvl,duration_s,pi_received,hero,crit,haste,mastery,vers,report_id,fight_id,start_time
76,浪里马性呢,,血色十字军,CN,155477.76449952,291.0,558.139,False,PackLeader,1348,384,987,0,64DCpP9c8KJRqmGT,84,1782113124023
77,Person,,国王之谷,CN,155412.28235425,290.0,573.294,False,PackLeader,820,852,1037,16,VvQbDdMzq4Lckjag,13,1782113774205
79,小南一号,,安苏,CN,155349.55480142,289.0,551.327,False,PackLeader,698,716,1606,0,dHtMF9R3fZvmYVkG,47,1781852152110
80,各自有路走,iuiuiuiui,凤凰之神,CN,155317.94885963,290.0,579.112,False,PackLeader,672,820,1474,58,NQb1H4dTmJ892vDc,10,1782042521608
81,Limhynt,Unwealthy Homeless Men,Twisting Nether,EU,155302.96369631,290.0,550.495,False,PackLeader,764,740,1122,266,3Kn7FR1qzJYg6VdA,7,1781721539798
82,아내다애,유랑단,아즈샤라,KR,155192.00169244,291.0,529.412,False,PackLeader,942,747,986,52,1NAM72vhJ6KXrFWm,12,1782131241583
83,番茄玉米鱼片,,凤凰之神,CN,155144.93835032,290.0,580.295,False,PackLeader,983,529,1411,32,BF7MnCzrky3h4bP6,60,1781940628571
84,灬曲无忆,,燃烧之刃,CN,155095.05235749,292.0,569.928,False,PackLeader,1023,582,1149,0,2JdbfFwgaH4p69Ky,165,1782048299554
86,因风飞过蔷薇,,血色十字军,CN,154994.58897059,290.0,545.922,False,PackLeader,609,774,1634,0,nBPm42r1YkRKhyqW,33,1781786028529
87,豆乳米麻薯丶,小 法 狮,伊森利恩,CN,154970.68747698,290.0,567.539,False,PackLeader,1055,779,1110,41,Kv1GqgDVzb8WPk7M,121,1781961016655
89,芊芊丶绿雪,小 法 狮,国王之谷,CN,154935.76066509,290.0,576.765,False,PackLeader,978,809,1247,0,4yhwrVa3MJKfWpBN,94,1781785135466
90,林花谢春红,,加基森,CN,154911.33439034,291.0,553.766,False,PackLeader,662,786,1614,0,nBPm42r1YkRKhyqW,11,1781781414135
91,최진이정유미,최진이,아즈샤라,KR,154908.43952107,290.0,545.967,False,PackLeader,603,790,1536,118,pTXvcA9JFdhCjb2f,47,1782131143475
92,Shóot,Who Asked,Draenor,EU,154890.26292707,290.0,509.609,False,PackLeader,728,689,1255,84,4NfJyG97PXwrjHCv,40,1781729356802
93,饭饭究极好吃,B L C,凤凰之神,CN,154641.45038141,289.0,565.534,False,PackLeader,720,568,1422,0,GMTnvfhVNjJ1yrYw,18,1781870977064
94,Zyraní,NonSense,Eredar,EU,154396.89852813,290.0,536.326,False,PackLeader,574,822,1304,52,typ8hAJ3DV9Zrfwk,40,1781812251518
96,肆箭灬,,埃德萨拉,CN,154364.12548133,290.0,566.14,False,PackLeader,1065,575,1158,52,fGtNrVp8PFkRw7Wx,109,1781950132790
97,怎么始终牵挂,iuiuiuiui,凤凰之神,CN,154350.77509579,290.0,573.413,False,PackLeader,800,788,1465,0,hmzGca3vTPkRpLgw,53,1782057750764
98,花落故溪,,血色十字军,CN,154283.21628466,290.0,554.043,False,PackLeader,603,653,1693,0,9WXmfyLz1wTvxbAn,16,1781869592228
99,오징어회무침,위드,아즈샤라,KR,154225.78103371,291.0,563.484,False,PackLeader,1063,754,864,52,nRQ7Bp2VdfMNHAhx,27,1782130911180
100,咚咚哒小红手,,血色十字军,CN,154220.00675904,291.0,562.21,False,PackLeader,1068,546,1180,0,KCxvkbjmhAZGVqTP,125,1781788036941
101,笙歌會停,iuiuiuiui,凤凰之神,CN,154212.17523271,291.0,577.221,False,PackLeader,655,761,1613,0,TfC28zXQnkbVDdt9,11,1781954535971
103,山杏花满庭,,黑翼之巢,CN,154135.49168439,290.0,555.702,False,PackLeader,711,752,1592,0,3kjrcGQRJLNBWf6p,104,1782034216973
105,绝二十四,,丽丽（四川）,CN,154117.14260269,290.0,572.661,False,PackLeader,1221,693,1091,16,4hdrGXAKQCMYkzFR,100,1782121449930
106,媽玛,,凤凰之神,CN,154096.08285122,290.0,573.172,False,PackLeader,1033,493,1496,16,MGPqyWdY8tzZmpKR,495,1782130857203
108,琳莉小公举丶,,国王之谷,CN,154042.83085565,290.0,578.228,False,PackLeader,840,722,1174,0,MFhbrHXxcgaDw712,72,1782041850937
110,咕咕迪杰,The Six Army,熊猫酒仙,CN,154017.02394859,291.0,570.138,False,PackLeader,1008,800,1247,16,NdbfRkzwYXLmgHKM,49,1782108854744
111,스파게티,최진이,아즈샤라,KR,154011.73013406,290.0,535.288,False,PackLeader,557,885,1500,68,HAfBQ27bw4W1arXM,13,1781869557365
112,青萍末,,回音山,CN,153978.50842108,289.0,552.542,False,PackLeader,757,808,1382,0,3kjrcGQRJLNBWf6p,90,1782031578656
113,Muz,Entropy,Frostmourne,US,153948.71885796,290.0,535.811,False,PackLeader,676,798,1133,125,GZz8v1gQANCny6jW,23,1782037667939
115,随秋雁到东湖,,血色十字军,CN,153915.32786825,290.0,546.012,False,PackLeader,631,756,1610,0,dHtMF9R3fZvmYVkG,99,1781863082047
116,不算多特别,iuiuiuiui,凤凰之神,CN,153909.75899311,291.0,571.104,False,PackLeader,780,931,1281,41,jhMFRZVt7K8vX21m,55,1782029995676
119,秋将暮,,罗宁,CN,153846.64872999,291.0,548.225,False,PackLeader,1090,594,1284,32,9WXmfyLz1wTvxbAn,32,1781873162691
120,Braktixx,Well Named guild,Tarren Mill,EU,153832.1767348,291.0,529.426,False,PackLeader,898,626,1139,84,AxbX3TBDVrj4ygJf,24,1781806659196
121,Trolovác,Salt Mines,Drak'thul,EU,153726.05525623,290.0,528.592,False,PackLeader,891,1041,727,102,461mhXAaGWVvNDpH,25,1781726208026
122,猎丶落羽无痕,,影之哀伤,CN,153707.1862673,290.0,579.522,False,PackLeader,776,600,1497,89,3XpHJgQxydbCFkML,70,1782050903164
123,糖半仙灬,,格瑞姆巴托,CN,153697.78186904,290.0,564.89,False,PackLeader,730,811,1140,0,ApqNa2zgQLdCrYD6,31,1781941630548
124,丶冬月,,无尽之海,CN,153687.15051248,289.0,566.365,False,PackLeader,1307,417,1135,0,fxCNFn4GY1hqzBJZ,9,1782012277432
125,噜亿發,,凤凰之神,CN,153666.38057766,291.0,580.239,False,PackLeader,1046,475,1500,16,MGPqyWdY8tzZmpKR,358,1782104664031
126,乔渣男七号,,凤凰之神,CN,153639.55802658,289.0,569.265,False,PackLeader,735,638,1456,110,yHzaYQqKt9PXj1wJ,41,1781789321027
127,Racxyshunt,Smokin Pirates,Kael'thas,EU,153570.69113094,290.0,530.406,False,PackLeader,646,671,1265,149,B2daC43XqjN7hnY1,21,1782074013202
128,Lancer,,冰风岗,CN,153567.36321471,290.0,545.691,False,PackLeader,790,787,1359,117,vqpWCjamyVLc7tAg,1,1781797413914
129,野性触角,,燃烧之刃,CN,153528.75908093,291.0,581.851,False,PackLeader,932,647,1122,0,d2KwHYCaDn9kfT78,14,1781926091847
