boss,enc,dur,dps,bc
아베르지안,3176,288.767,138947.00571741,True
아베르지안,3176,236.356,138855.6034118,True
아베르지안,3176,180.982,138706.40726702,False
아베르지안,3176,209.773,138693.08252254,True
아베르지안,3176,333.561,138687.18165493,True
아베르지안,3176,278.376,138681.90864155,True
아베르지안,3176,308.596,138671.52198992,True
아베르지안,3176,287.519,138669.27403059,True
아베르지안,3176,273.158,138641.20399183,True
아베르지안,3176,310.674,138639.10079376,True
아베르지안,3176,261.16,138597.31582172,True
아베르지안,3176,282.708,138591.22133084,True
아베르지안,3176,291.285,138533.41915993,True
아베르지안,3176,289.547,138447.15020359,True
아베르지안,3176,286.129,138438.55044403,True
아베르지안,3176,295.779,138430.64247293,True
아베르지안,3176,293.471,138428.60452992,True
아베르지안,3176,291.542,138399.63367199,True
아베르지안,3176,261.071,138366.76995913,True
아베르지안,3176,271.145,138349.35182283,True
아베르지안,3176,375.95,138288.90277962,True
아베르지안,3176,210.27,138285.02877253,True
아베르지안,3176,263.757,138277.69879093,True
아베르지안,3176,279.186,138221.25393107,True
아베르지안,3176,288.538,138143.0695437,True
아베르지안,3176,290.934,138142.80558477,True
아베르지안,3176,290.041,138119.75893063,True
아베르지안,3176,182.718,138082.46040346,False
아베르지안,3176,273.613,138013.83706184,True
아베르지안,3176,210.77,138006.12516013,True
아베르지안,3176,288.949,137989.61408415,True
아베르지안,3176,282.238,137973.01213869,True
아베르지안,3176,363.602,137968.37476141,True
아베르지안,3176,374.458,137962.04914837,True
아베르지안,3176,289.514,137953.07998922,True
아베르지안,3176,288.482,137940.84899578,True
아베르지안,3176,311.583,137936.50808934,True
아베르지안,3176,328.634,137854.91762873,True
아베르지안,3176,355.144,137822.70571937,True
아베르지안,3176,208.132,137740.75106183,True
아베르지안,3176,354.15,137739.16419596,True
아베르지안,3176,200.707,137737.93141246,False
아베르지안,3176,278.642,137588.40734706,True
아베르지안,3176,379.35,137571.48279953,True
아베르지안,3176,263.656,137546.7844464,True
아베르지안,3176,246.178,137546.73853878,True
아베르지안,3176,268.156,137540.30489715,True
아베르지안,3176,216.882,137499.82017871,True
아베르지안,3176,361.972,137488.18416894,True
아베르지안,3176,301.946,137473.96223166,True
아베르지안,3176,247.507,137428.1414263,True
아베르지안,3176,267.85,137383.19208512,True
아베르지안,3176,292.939,137382.78959101,True
아베르지안,3176,279.096,137364.03603061,True
아베르지안,3176,293.619,137363.27008811,True
아베르지안,3176,184.674,137346.06928967,False
아베르지안,3176,200.219,137327.70116722,True
아베르지안,3176,220.335,137313.48628225,True
아베르지안,3176,207.999,137307.94378819,False
아베르지안,3176,339.887,137232.91270334,True
아베르지안,3176,273.057,137151.44823242,True
아베르지안,3176,234.659,137131.15627357,True
아베르지안,3176,300.424,137130.23593321,True
아베르지안,3176,195.475,137087.69407853,False
아베르지안,3176,278.567,137012.99507838,True
아베르지안,3176,284.692,137010.17239684,True
아베르지안,3176,304.954,136982.58753779,True
아베르지안,3176,270.145,136972.3518851,True
아베르지안,3176,284.903,136927.39283195,True
아베르지안,3176,187.797,136888.15582784,False
아베르지안,3176,290.192,136874.24188124,True
아베르지안,3176,351.623,136872.13009388,True
아베르지안,3176,340.482,136856.15098596,True
아베르지안,3176,370.723,136851.33914,True
아베르지안,3176,346.153,136850.55741247,True
아베르지안,3176,294.348,136827.4287578,True
아베르지안,3176,290.165,136824.85482398,True
아베르지안,3176,292.171,136817.0694559,True
아베르지안,3176,282.18,136798.37337869,True
아베르지안,3176,295.649,136787.5115424,True
아베르지안,3176,242.454,136766.56602902,True
아베르지안,3176,243.668,136761.32278346,True
아베르지안,3176,279.167,136731.34002228,True
아베르지안,3176,289.569,136703.35567689,True
아베르지안,3176,297.873,136686.62483676,True
아베르지안,3176,375.09,136682.88943987,True
아베르지안,3176,372.331,136673.70968305,True
아베르지안,3176,296.641,136653.5340698,True
아베르지안,3176,271.724,136632.50209772,True
아베르지안,3176,344.778,136624.9151628,True
아베르지안,3176,279.984,136618.91393794,True
아베르지안,3176,204.7,136581.26526624,False
아베르지안,3176,303.916,136565.36674607,True
아베르지안,3176,368.316,136563.15772326,True
아베르지안,3176,335.372,136552.16595303,True
아베르지안,3176,303.097,136525.57762037,True
아베르지안,3176,281.552,136497.30777974,True
아베르지안,3176,210.078,136466.57908015,True
아베르지안,3176,278.743,136450.11713299,True
아베르지안,3176,285.045,136438.41147889,False
아베르지안,3176,231.517,136436.68931439,False
아베르지안,3176,213.765,136413.80487919,True
아베르지안,3176,277.865,136412.93073975,True
아베르지안,3176,356.299,136405.57509283,True
아베르지안,3176,284.796,136391.18878074,True
아베르지안,3176,369.563,136331.11810436,True
아베르지안,3176,350.867,136330.60390404,True
아베르지안,3176,374.724,136303.7729102,True
아베르지안,3176,293.599,136292.86203291,True
아베르지안,3176,271.459,136291.80097179,True
아베르지안,3176,306.054,136269.97196573,True
아베르지안,3176,303.144,136258.37885625,True
아베르지안,3176,205.788,136220.76603106,False
아베르지안,3176,306.748,136102.48477578,True
아베르지안,3176,297.493,136054.09539048,True
아베르지안,3176,271.83,136050.77438105,True
아베르지안,3176,260.703,136035.72264224,True
아베르지안,3176,283.98,135994.66159589,True
아베르지안,3176,298.829,135988.31773355,True
아베르지안,3176,271.828,135976.85668879,True
아베르지안,3176,364.465,135961.31041389,True
아베르지안,3176,268.737,135940.45107298,True
아베르지안,3176,295.57,135939.81797882,True
아베르지안,3176,299.571,135917.85252912,True
아베르지안,3176,190.157,135902.90128683,False
아베르지안,3176,326.964,135889.75850552,True
아베르지안,3176,283.74,135889.40579404,True
아베르지안,3176,285.114,135871.54261103,True
아베르지안,3176,197.681,135845.24056434,False
아베르지안,3176,275.203,135823.78099076,True
아베르지안,3176,282.707,135793.02953234,True
아베르지안,3176,291.379,135791.20664152,True
아베르지안,3176,370.867,135758.67629096,True
아베르지안,3176,231.14,135753.35727265,True
아베르지안,3176,328.933,135750.37469637,True
아베르지안,3176,284.446,135745.1924091,True
아베르지안,3176,239.166,135736.38393417,True
아베르지안,3176,314.973,135735.97419461,True
아베르지안,3176,254.759,135703.34315961,True
아베르지안,3176,361.695,135694.63774727,True
아베르지안,3176,214.498,135594.52302586,False
아베르지안,3176,295.626,135567.77482359,True
아베르지안,3176,301.744,135560.81976775,True
아베르지안,3176,220.618,135558.29080129,False
아베르지안,3176,207.738,135556.93228971,False
아베르지안,3176,269.053,135538.36976358,True
아베르지안,3176,356.02,135531.36621538,False
아베르지안,3176,289.588,135498.49441275,True
아베르지안,3176,293.811,135488.75297385,False
아베르지안,3176,328.246,135465.26690348,True
아베르지안,3176,276.306,135445.02833815,True
아베르지안,3176,208.956,135436.12530868,True
아베르지안,3176,210.904,135412.82289573,False
아베르지안,3176,339.252,135395.83849174,True
아베르지안,3176,225.828,135391.05868183,False
아베르지안,3176,255.634,135381.47898949,True
아베르지안,3176,349.018,135369.51675845,True
아베르지안,3176,290.59,135343.67321656,True
아베르지안,3176,275.07,135332.7407569,True
아베르지안,3176,326.838,135331.20995723,True
아베르지안,3176,219.289,135327.23027603,False
아베르지안,3176,365.423,135307.66809971,True
아베르지안,3176,287.554,135306.41896826,True
아베르지안,3176,302.405,135255.01562474,True
아베르지안,3176,326.076,135244.75889057,True
아베르지안,3176,297.323,135241.35704268,True
아베르지안,3176,343.982,135219.17716625,True
아베르지안,3176,268.945,135211.00224953,True
아베르지안,3176,293.459,135190.54450537,True
아베르지안,3176,264.447,135169.55760512,True
아베르지안,3176,361.033,135169.47204272,True
아베르지안,3176,287.589,135167.22475477,True
아베르지안,3176,224.867,135148.77683253,True
아베르지안,3176,316.753,135084.29596563,True
아베르지안,3176,292.297,135078.89920184,True
아베르지안,3176,285.045,135078.0543423,True
아베르지안,3176,227.905,135067.12884755,True
아베르지안,3176,239.793,135043.0955032,True
아베르지안,3176,292.546,135027.47943913,True
아베르지안,3176,368.971,134985.42432874,True
아베르지안,3176,306.325,134972.70545989,True
아베르지안,3176,318.662,134968.06020172,True
아베르지안,3176,282.953,134953.97468838,True
아베르지안,3176,230.937,134923.57222966,True
아베르지안,3176,286.64,134915.10954507,True
아베르지안,3176,282.39,134913.80360494,True
아베르지안,3176,270.378,134912.61123316,True
아베르지안,3176,242.479,134898.39120089,True
아베르지안,3176,368.341,134890.03124822,True
아베르지안,3176,298.874,134880.25388625,True
아베르지안,3176,297.595,134864.41304457,True
아베르지안,3176,299.055,134856.97279765,True
아베르지안,3176,353.254,134810.57256252,True
아베르지안,3176,213.535,134785.2389538,False
아베르지안,3176,372.328,134764.80146537,True
아베르지안,3176,265.341,134754.89276064,False
아베르지안,3176,309.189,134744.51872479,True
아베르지안,3176,290.72,134736.93588332,True
아베르지안,3176,197.681,134733.31276147,False
아베르지안,3176,297.064,134731.86922683,True
아베르지안,3176,275.066,134710.8475784,True
아베르지안,3176,333.183,134705.45315937,True
아베르지안,3176,268.156,134683.37460284,True
아베르지안,3176,224.588,134679.68012539,True
아베르지안,3176,292.739,134670.79548676,True
아베르지안,3176,256.79,134668.52681179,True
아베르지안,3176,316.836,134667.30422048,True
아베르지안,3176,356.791,134659.73076675,True
아베르지안,3176,342.432,134657.26918045,True
아베르지안,3176,293.815,134629.4981536,True
아베르지안,3176,325.416,134620.71010645,True
아베르지안,3176,347.319,134620.08413015,True
아베르지안,3176,232.906,134612.81804677,True
아베르지안,3176,295.29,134604.91720004,True
아베르지안,3176,287.325,134592.88610459,True
아베르지안,3176,215.063,134573.33432529,False
아베르지안,3176,210.45,134568.32976954,True
아베르지안,3176,299.513,134551.20478911,True
아베르지안,3176,282.465,134523.32501372,True
아베르지안,3176,291.253,134522.01350716,False
아베르지안,3176,291.929,134508.4798016,True
아베르지안,3176,317.916,134504.20551341,True
아베르지안,3176,238.388,134497.264963,False
아베르지안,3176,201.992,134488.15794685,False
아베르지안,3176,292.631,134485.12290222,True
아베르지안,3176,284.639,134467.44121501,True
아베르지안,3176,297.575,134464.40057128,True
아베르지안,3176,281.293,134442.74475369,True
아베르지안,3176,278.067,134433.43870362,True
아베르지안,3176,283.07,134428.78086692,True
아베르지안,3176,289.327,134394.32545182,True
아베르지안,3176,284.176,134388.36495693,True
아베르지안,3176,364.362,134378.64266855,True
아베르지안,3176,334.847,134370.37811299,True
아베르지안,3176,297.879,134365.74582297,True
아베르지안,3176,281.962,134350.84160277,True
아베르지안,3176,316.656,134276.03140316,True
아베르지안,3176,245.679,134271.065089,True
아베르지안,3176,294.206,134218.48296772,True
아베르지안,3176,216.423,134203.23625493,False
아베르지안,3176,371.014,134172.80749513,True
아베르지안,3176,224.34,134170.44218597,False
아베르지안,3176,357.419,134154.14121801,True
아베르지안,3176,250.209,134145.19062064,True
아베르지안,3176,261.35,134125.89248135,True
아베르지안,3176,227.238,134098.08218696,True
아베르지안,3176,249.9,134076.2264906,True
아베르지안,3176,307.249,134073.44857103,True
아베르지안,3176,245.394,134052.6785496,True
아베르지안,3176,298.597,134049.10297156,True
아베르지안,3176,210.658,134036.55688367,True
아베르지안,3176,284.641,134007.29339765,True
아베르지안,3176,286.944,134002.09100033,True
아베르지안,3176,297.543,134001.80478116,True
아베르지안,3176,320.624,134000.11539997,True
아베르지안,3176,198.49,133992.140662,False
아베르지안,3176,351.126,133982.2428416,True
아베르지안,3176,290.411,133975.48302234,True
아베르지안,3176,228.442,133970.31631661,True
아베르지안,3176,233.657,133960.97698764,True
아베르지안,3176,216.743,133953.87163599,True
아베르지안,3176,198.081,133947.69816388,False
아베르지안,3176,264.516,133932.42374752,False
아베르지안,3176,277.206,133929.35939338,True
아베르지안,3176,278.651,133897.99067651,True
아베르지안,3176,335.616,133897.40358028,True
아베르지안,3176,340.066,133892.68847812,True
아베르지안,3176,292.434,133876.52256578,True
아베르지안,3176,242.352,133866.26064567,False
아베르지안,3176,297.729,133858.15624276,True
아베르지안,3176,363.618,133855.13368425,True
아베르지안,3176,345.986,133845.82902198,True
아베르지안,3176,285.666,133814.07307835,True
아베르지안,3176,232.889,133810.91850624,False
아베르지안,3176,293.72,133802.43429116,True
아베르지안,3176,289.543,133798.87961374,True
아베르지안,3176,370.208,133767.34970611,True
아베르지안,3176,290.837,133750.47535217,True
아베르지안,3176,275.964,133734.53783827,True
아베르지안,3176,296.136,133715.27608936,True
아베르지안,3176,205.729,133700.3533775,False
아베르지안,3176,295.154,133696.04680946,True
아베르지안,3176,276.683,133688.36538566,True
아베르지안,3176,290.694,133678.9717022,True
아베르지안,3176,327.42,133647.96896952,False
아베르지안,3176,282.598,133634.61878711,False
아베르지안,3176,251.768,133631.60528741,True
아베르지안,3176,262.015,133624.48333111,True
아베르지안,3176,322.13,133623.42222084,True
아베르지안,3176,335.611,133620.76928349,True
아베르지안,3176,313.1,133616.73586714,True
아베르지안,3176,269.326,133596.2216793,True
아베르지안,3176,210.947,133588.04818272,False
아베르지안,3176,282.317,133565.31841866,True
아베르지안,3176,305.188,133538.67124527,True
아베르지안,3176,272.01,133534.97297893,True
아베르지안,3176,302.78,133528.6082304,True
아베르지안,3176,276.394,133500.07959652,False
아베르지안,3176,302.613,133499.21186466,True
아베르지안,3176,300.517,133482.90446131,True
아베르지안,3176,309.888,133478.33410781,True
아베르지안,3176,184.186,133457.01627702,False
아베르지안,3176,261.019,133447.39654968,True
아베르지안,3176,372.82,133425.49487688,True
아베르지안,3176,328.047,133425.08542983,True
아베르지안,3176,243.861,133421.68694461,True
아베르지안,3176,326.752,133387.60895113,True
아베르지안,3176,246.734,133373.61287865,True
아베르지안,3176,268.067,133352.69167783,True
아베르지안,3176,281.773,133338.89336452,True
아베르지안,3176,310.657,133336.79588743,True
아베르지안,3176,298.667,133309.37130651,True
아베르지안,3176,313.999,133302.09968822,True
아베르지안,3176,282.596,133286.74503532,True
아베르지안,3176,253.215,133284.31964931,True
아베르지안,3176,275.419,133275.2678646,False
아베르지안,3176,239.373,133249.76083351,True
아베르지안,3176,286.924,133241.40190434,True
아베르지안,3176,296.811,133236.31199652,True
아베르지안,3176,293.99,133234.16102589,True
아베르지안,3176,263.6,133224.19954476,True
아베르지안,3176,303.859,133214.32638164,True
아베르지안,3176,217.856,133208.49551998,True
아베르지안,3176,300.276,133186.00554157,True
아베르지안,3176,224.154,133172.2788797,True
아베르지안,3176,214.198,133164.30592256,True
아베르지안,3176,278.344,133156.82752278,True
아베르지안,3176,361.829,133153.57807141,True
아베르지안,3176,261.025,133151.077483,True
아베르지안,3176,337.441,133134.65465074,True
아베르지안,3176,292.006,133131.06580002,True
아베르지안,3176,289.2,133128.35408022,True
아베르지안,3176,296.898,133112.99166717,True
아베르지안,3176,269.255,133109.56156803,True
아베르지안,3176,295.856,133103.3475745,True
아베르지안,3176,301.363,133067.92141039,True
아베르지안,3176,214.997,133046.53553305,True
아베르지안,3176,230.021,133026.65408811,False
아베르지안,3176,319.178,133023.13442656,True
아베르지안,3176,263.292,133020.87036446,True
아베르지안,3176,275.616,133009.13227099,True
아베르지안,3176,297.989,133005.755246,True
아베르지안,3176,297.786,133005.70543948,True
아베르지안,3176,301.189,132999.78086849,True
아베르지안,3176,224.145,132994.16449174,False
아베르지안,3176,313.892,132968.85234412,True
아베르지안,3176,209.687,132965.64880035,True
아베르지안,3176,246.593,132947.05851342,True
아베르지안,3176,278.312,132946.07490874,True
아베르지안,3176,205.788,132923.82937781,False
아베르지안,3176,220.105,132918.67063447,True
아베르지안,3176,205.729,132911.8986628,False
아베르지안,3176,200.155,132899.41295496,False
아베르지안,3176,285.306,132895.31941144,True
아베르지안,3176,280.52,132878.22258662,True
아베르지안,3176,315.599,132874.41341703,True
아베르지안,3176,287.24,132871.62999582,True
아베르지안,3176,294.843,132863.61894296,False
아베르지안,3176,294.307,132861.3488636,True
아베르지안,3176,277.222,132860.16261336,True
아베르지안,3176,283.277,132859.35674269,True
아베르지안,3176,366.345,132837.36095757,True
아베르지안,3176,257.312,132827.00379306,True
아베르지안,3176,315.82,132803.60015199,True
아베르지안,3176,275.823,132793.7807942,True
아베르지안,3176,191.669,132778.51921803,False
아베르지안,3176,204.369,132777.27541848,False
아베르지안,3176,305.264,132775.23389591,True
아베르지안,3176,215.279,132775.1661797,False
아베르지안,3176,361.47,132759.61767228,True
아베르지안,3176,262.064,132735.4157763,True
아베르지안,3176,339.1,132720.58684754,True
아베르지안,3176,286.812,132713.71839393,True
아베르지안,3176,269.916,132699.46575972,True
아베르지안,3176,300.957,132698.27915616,True
아베르지안,3176,349.016,132679.85135352,True
아베르지안,3176,302.388,132672.1232324,True
아베르지안,3176,291.31,132659.42123511,True
아베르지안,3176,286.873,132650.89081231,True
아베르지안,3176,338.556,132642.68245135,True
아베르지안,3176,210.18,132640.93158245,False
아베르지안,3176,231.011,132638.23367718,False
아베르지안,3176,315.187,132637.48504856,True
아베르지안,3176,298.904,132633.54789498,True
아베르지안,3176,235.214,132608.39065702,False
아베르지안,3176,365.667,132605.40327675,True
아베르지안,3176,289.837,132604.40868488,True
아베르지안,3176,327.65,132603.31451244,True
아베르지안,3176,228.55,132586.36622183,True
아베르지안,3176,209.236,132585.30080866,False
아베르지안,3176,294.805,132584.03351368,True
아베르지안,3176,378.785,132564.91413335,True
아베르지안,3176,287.388,132547.72641864,True
아베르지안,3176,321.007,132547.67653042,True
아베르지안,3176,287.002,132532.4736413,True
아베르지안,3176,203.592,132525.06974734,False
