boss,rank,dps,build,dr_n,sen_n,dur,rid,fid,char
Crown of the Cosmos,69,190895.34040553,SEN,0,14,499.494,bz2P4r9HT7xqgZWR,28,虾仁三号
Crown of the Cosmos,70,190889.5159465,SEN,0,14,516.476,3rvPKLxnbaGcj1J4,34,Ozinatorxd
Crown of the Cosmos,72,190740.85171144,SEN,0,14,494.867,QWHRT9tJAkxq8vYb,12,Shaqtus
Crown of the Cosmos,75,190257.6102372,SEN,0,14,515.125,nK2VTm9Fzd6BP7wv,122,Punisherinho
Crown of the Cosmos,79,189634.43248131,SEN,0,14,530.304,XjtdV9WRwcFhTaCz,37,新手猎卖萌
Crown of the Cosmos,81,189526.85278306,SEN,0,14,519.863,nVPqyfMZwgcQR1Hh,14,Hunjamin
Crown of the Cosmos,83,189350.0870003,SEN,0,14,509.016,4hVBXCkx3cWfPgYd,33,在下晓明
Crown of the Cosmos,87,188802.03935226,SEN,0,14,502.582,jB2cHz9VdALQGgvy,31,悍匪老胡
Crown of the Cosmos,93,188234.81001942,SEN,0,14,531.695,FkPVQcyd2rHt3abh,30,盛宴猎
Crown of the Cosmos,95,187976.98971186,SEN,0,14,509.149,BfHr1tXzPyYnqRT7,191,点都不土
Crown of the Cosmos,97,187823.20888079,SEN,0,14,516.17,Mc6vbBhjkrRKyTZY,42,김태우
Crown of the Cosmos,98,187759.42685737,SEN,0,14,519.466,kb6zNVnLTQ3HdPcM,8,Dpxhunt
Crown of the Cosmos,100,187502.93629851,SEN,0,14,510.398,WaPvGDBrfqN7Y4x1,53,陈年风褛
"Chimaerus, the Undreamt God",1,172440.52414625,DR,14,0,149.195,dGQLAF3rXT7vxJa9,10,或昱或愚
"Chimaerus, the Undreamt God",2,165685.40512361,DR,14,0,149.621,a9xyAghVTvJqm1ZG,32,陈年风褛
"Chimaerus, the Undreamt God",3,151486.03237763,DR,14,0,146.768,NXVzr4xGjgk6qwp2,12,Hopobopo
"Chimaerus, the Undreamt God",4,150446.14740953,DR,14,0,143.41,3c8KDhRPzB2b6rtv,37,Airponchik
"Chimaerus, the Undreamt God",5,149734.04530901,DR,14,0,289.523,34wxrRFBtnDZJVkA,1,정유미최진이
"Chimaerus, the Undreamt God",6,148621.88456787,DR,14,0,148.936,qzawYfMmCGVH63Bn,14,丶依枪穿云
"Chimaerus, the Undreamt God",7,148582.05883714,SEN,0,14,324.115,HyGcnNarh7VYDgM4,1,코륨화살
"Chimaerus, the Undreamt God",8,146984.77058703,DR,14,0,272.696,HX9ybh3gwGzZC8QL,4,파강마
"Chimaerus, the Undreamt God",9,145344.62509592,SEN,0,14,345.355,pvdtXy6zNf7kT8LZ,3,转九
"Chimaerus, the Undreamt God",10,144547.42410701,DR,14,0,277.496,k32wT7BZ1XvgyK6W,2,파개왕태우스
"Chimaerus, the Undreamt God",11,144003.25617193,DR,14,0,320.929,DhkLW48tyX7pMCGm,3,태우스
"Chimaerus, the Undreamt God",12,143812.21637383,DR,14,0,292.198,LdWqAK3MRCPrkxFt,12,Папавэник
"Chimaerus, the Undreamt God",13,143561.2330088,DR,14,0,340.176,98mZzxNtpwRach4y,2,Досикхайтаб
"Chimaerus, the Undreamt God",14,142894.62386109,DR,14,0,314.445,trNkKQbdmzwWG9y4,80,Solhunti
"Chimaerus, the Undreamt God",15,142416.55105816,DR,14,0,147.048,hBGWgJcjP3qRdF8X,6,阳光暖阳阳
"Chimaerus, the Undreamt God",16,141998.56528842,DR,14,0,331.774,YKJxPQFVgh9fa7LG,8,Arlun
"Chimaerus, the Undreamt God",17,141914.8515261,DR,14,0,145.076,TJMjnFALgyVWp9NX,11,Fredagain
"Chimaerus, the Undreamt God",18,141839.70433495,SEN,0,14,384.895,G6aDThLdNz3WP7mX,23,Ratatouille
"Chimaerus, the Undreamt God",19,141365.2226936,DR,14,0,308.316,D9fGygdbFV7a14cP,2,Taewoos
"Chimaerus, the Undreamt God",20,140761.97547656,DR,14,0,144.107,47jarVtFKYLgZpcf,39,来感觉了吗
"Chimaerus, the Undreamt God",21,140649.01010921,DR,14,0,339.987,18PX2hgfZcAY4wJC,3,Ridee
"Chimaerus, the Undreamt God",22,140608.07344906,SEN,0,14,322.836,wCBmJqW41PbZRHrz,4,양혐
"Chimaerus, the Undreamt God",23,140585.0300648,DR,14,0,316.982,6pDAxr9dZmVcXvqW,34,Solcheeto
"Chimaerus, the Undreamt God",24,140355.18445363,SEN,0,14,357.434,aTxjDhNJ19rc78mp,1,转十二
"Chimaerus, the Undreamt God",25,140345.1582561,SEN,0,14,376.352,fvtqCbYWJ19KjHG6,7,命終紸錠
"Chimaerus, the Undreamt God",26,140067.79928052,DR,14,0,380.83,yFfXAaKmrctBdxY7,4,丶低调
"Chimaerus, the Undreamt God",27,139861.48099589,DR,14,0,292.884,vc8XhyLJDapCgFR4,3,Rngu
"Chimaerus, the Undreamt God",28,139515.83945416,SEN,0,14,379.306,9TgLqMpGjrmAc17k,5,艾琳灬风信子
"Chimaerus, the Undreamt God",29,139515.21960903,DR,14,0,145.076,TJMjnFALgyVWp9NX,11,小熊走十里
"Chimaerus, the Undreamt God",30,139293.81525984,SEN,0,14,398.982,AP4w79aRBpJXCfqG,6,不语道人
"Chimaerus, the Undreamt God",31,139250.19534086,DR,14,0,144.619,qNF8m9VQrvpRHYL4,7,Haldt
"Chimaerus, the Undreamt God",32,139199.05221402,DR,14,0,291.416,Gy823bYjKLCvVBwq,5,냥에카
"Chimaerus, the Undreamt God",33,138930.48515773,SEN,0,14,354.73,Lt9bJNXrF7KWkGzZ,14,转十一
"Chimaerus, the Undreamt God",49,137292.97360483,DR,14,0,297.706,ZWntyBCqk7bd8XLK,1,Beastsong
"Chimaerus, the Undreamt God",50,137227.40997757,SEN,0,14,386.487,dkx7WpyYKgzHVjt3,3,資深小白
"Chimaerus, the Undreamt God",54,136800.80333281,SEN,0,14,314.689,YTdWBwpMN4P7zXnA,3,米咕咕饲养员
"Chimaerus, the Undreamt God",57,136076.62734064,DR,14,0,393.802,D4TCrX826bhNVcg3,40,Дэпсик
"Chimaerus, the Undreamt God",60,135333.77262454,DR,14,0,319.454,pBfY3NXvrgQCw9KZ,4,云诺千山
"Chimaerus, the Undreamt God",64,134618.14925715,DR,14,0,348.995,8tTYHn4GDJ39dcKC,3,春日影
"Chimaerus, the Undreamt God",65,134616.60002658,SEN,0,14,331.132,PDmAa8jHF6fLKgCG,2,Varàs
"Chimaerus, the Undreamt God",67,134489.8000011,SEN,0,14,364.902,gjWTLYm1Mknd32w7,3,卡了不然能莎
"Chimaerus, the Undreamt God",69,134225.64357358,DR,14,0,322.03,rPD82HxR7pg3FbNB,5,퍼런멸치
"Chimaerus, the Undreamt God",70,134218.78114874,DR,14,0,328.063,KrBCPaWn17t6vhNA,8,행성사냥꾼
"Chimaerus, the Undreamt God",79,133323.60667857,SEN,0,14,354.387,dWAjZkvtDnacXPVx,4,Byikkda
"Chimaerus, the Undreamt God",83,132847.01995507,SEN,0,14,378.35,JtxAZwgjBfpF4dMr,4,Gingihhm
"Chimaerus, the Undreamt God",85,132410.77172429,SEN,0,14,359.701,7CvpWRq9Nn21AGz4,74,늙고병든망구
"Chimaerus, the Undreamt God",91,132084.27330028,DR,14,0,315.082,f8x9AKDYZqvmGLka,1,꾼월
"Chimaerus, the Undreamt God",95,131424.91043357,DR,14,0,355.602,G23NWXBzHYKPag6b,58,긁혔냥
"Belo'ren, Child of Al'ar",1,139810.59638568,SEN,0,14,317.127,tXJhRMPWCv1wjVfc,15,파개왕태우스
"Belo'ren, Child of Al'ar",2,139671.60024866,SEN,0,14,320.119,qgGbFKwtNWHmxA4J,35,卓伦
"Belo'ren, Child of Al'ar",3,138908.45359108,SEN,0,14,312.246,TXKrxncwWH2DqA9j,7,Членвнутри
"Belo'ren, Child of Al'ar",4,138690.52899203,SEN,0,14,323.313,1L6GypBdzKnmCRjk,144,Malarkus
"Belo'ren, Child of Al'ar",5,137754.99083599,SEN,0,14,324.094,vRZ9DbqXYTAK6ycz,25,Проксипанда
"Belo'ren, Child of Al'ar",6,137676.62996484,SEN,0,14,312.246,TXKrxncwWH2DqA9j,7,Komandovichx
"Belo'ren, Child of Al'ar",7,136556.60013871,SEN,0,14,324.425,yjGg91Cq8b7YFRvL,53,주학몬
"Belo'ren, Child of Al'ar",8,135160.04917256,SEN,0,14,318.877,gyVJMbLvcaZkhYw6,50,Cazazthan
"Belo'ren, Child of Al'ar",9,135098.48530657,SEN,0,14,330.76,J19KGYywMqnbaQW4,10,米咕咕饲养员
"Belo'ren, Child of Al'ar",10,134188.03254039,SEN,0,14,311.244,XGpLd9vHFxyTK18r,7,냥에카
"Belo'ren, Child of Al'ar",11,133712.4069236,SEN,0,14,326.882,kHM4Bc2dPFZXAtQv,33,夏夜神話
"Belo'ren, Child of Al'ar",12,133389.91798151,SEN,0,14,287.74,7dhBKwfgZx4rpCjc,1,Banshers
"Belo'ren, Child of Al'ar",13,132274.99603533,SEN,0,14,308.979,kqrbZ1fcjBhLNmKR,31,Tipofthejiko
"Belo'ren, Child of Al'ar",14,132115.17352104,SEN,0,14,309.559,PrmABHanTbgRzck1,19,Canyon
"Belo'ren, Child of Al'ar",15,131578.42442144,SEN,0,14,306.059,hZ1bB3M9jqPmwcnd,98,Solduck
"Belo'ren, Child of Al'ar",16,131394.91695871,SEN,0,14,328.15,BJCmGKf3XkD7MTth,54,스파게티
"Belo'ren, Child of Al'ar",17,131030.12215988,SEN,0,14,326.703,qWwCmJQVGfdBvFc9,1,在下王鑫
"Belo'ren, Child of Al'ar",18,130702.12066014,SEN,0,14,328.294,aXH3nC8JAqMcz9mf,43,격사냥꾼
"Belo'ren, Child of Al'ar",19,130620.37631383,SEN,0,14,328.715,8tTYHn4GDJ39dcKC,26,春日影
"Belo'ren, Child of Al'ar",20,130530.44745787,SEN,0,14,330.668,ygVjQTWArPRcL73t,38,Azozo
"Belo'ren, Child of Al'ar",21,130478.04009259,SEN,0,14,305.443,pqxnrJmaj4MfBYZP,48,간장계란국수
"Belo'ren, Child of Al'ar",22,130163.3188205,SEN,0,14,323.392,jtw1bQhzYTc8Lqv6,2,转六
"Belo'ren, Child of Al'ar",23,130125.66162296,SEN,0,14,326.281,yZtYAJgxdcN2VBah,42,로저브라운
"Belo'ren, Child of Al'ar",24,129712.03799325,SEN,0,14,304.054,rVDank6jypRzW9Fx,7,陈年风褛
"Belo'ren, Child of Al'ar",25,129545.17932499,SEN,0,14,325.359,Jbn7aLfdvAkz4M2N,47,有栖莉空
"Belo'ren, Child of Al'ar",26,129430.75638085,SEN,0,14,330.442,ja7HKbmARkG2Prqp,30,Varàs
"Belo'ren, Child of Al'ar",27,128958.07967943,SEN,0,14,324.425,yjGg91Cq8b7YFRvL,53,극호흡무딜
"Belo'ren, Child of Al'ar",28,128857.24668499,DR,14,0,315.082,9bYX6cRVHz8BnjWJ,28,Sendo
"Belo'ren, Child of Al'ar",29,128423.08500434,SEN,0,14,328.395,ZpQ4P8YnVv6Majfx,68,随便随便
"Belo'ren, Child of Al'ar",30,128007.87797933,SEN,0,14,323.814,gfkKJwMxnDG9HpWT,6,Shaqtus
"Belo'ren, Child of Al'ar",31,127956.81998745,SEN,0,14,323.483,Zj4cKtP6mxA9vR83,23,Qinai
"Belo'ren, Child of Al'ar",32,127920.09642166,SEN,0,14,314.867,rKaZNCYTX1QqhkJt,10,Ridee
"Belo'ren, Child of Al'ar",33,127820.36127504,SEN,0,14,339.409,ZjkD6gnQV8Fax3qm,15,声小点我布隆
"Belo'ren, Child of Al'ar",34,127798.03380859,SEN,0,14,315.127,hWyTfDj37PqMabp6,39,Hunjamin
"Belo'ren, Child of Al'ar",47,126686.70797711,SEN,0,14,336.638,GZy9DKMV87qx3vL1,8,转十七
"Belo'ren, Child of Al'ar",55,125439.90239883,SEN,0,14,315.57,V2kbPdm7vX9BCGDn,50,태우스
"Belo'ren, Child of Al'ar",72,123216.64836399,SEN,0,14,325.089,ZYGCLkvaP3fbRVTq,16,Atcaution
"Belo'ren, Child of Al'ar",73,123107.0464629,SEN,0,14,324.56,DjbZ2G6CcV7YKwLP,31,我不爱吃菜
"Belo'ren, Child of Al'ar",74,123010.87685831,SEN,0,14,304.04,Mh7DGNYJZv2X3ry1,17,Survi
"Belo'ren, Child of Al'ar",76,122844.58431942,SEN,0,14,321.557,Z2ca1vbFzrqAxBhg,2,Ragedast
"Belo'ren, Child of Al'ar",79,122678.04278018,SEN,0,14,338.194,Q6cT1nAtbWjXLhfY,8,在下小凡
"Belo'ren, Child of Al'ar",80,122639.82806145,SEN,0,14,320.347,hHPByxX712T3br9p,11,Skryf
"Belo'ren, Child of Al'ar",83,122473.66665164,SEN,0,14,332.715,fNb1kRvJj8XmQwBF,20,Lemoondt
"Belo'ren, Child of Al'ar",87,122332.54063627,SEN,0,14,316.22,JgT1wtAzyqQf92PB,21,Ihatethewolr
"Belo'ren, Child of Al'ar",88,122315.36361305,SEN,0,14,331.465,DAm2FRpaPWh6VJ7b,46,转三
Midnight Falls,1,225503.25652724,DR,14,0,546.441,t987khwQMRXLdp63,5,냥에카
Midnight Falls,2,220626.08780838,DR,14,0,551.223,k32wT7BZ1XvgyK6W,50,파개왕태우스
Midnight Falls,3,218560.04182854,DR,14,0,570.902,PyGrm4jFRCh3Mp6d,36,로저브라운
Midnight Falls,4,213826.25382044,DR,14,0,545.094,mxr4M69NcC8kYy1A,61,주학몬
Midnight Falls,5,212891.63829957,DR,14,0,551.108,jL8Pmc9rpHKTgJDW,52,Taewoos
Midnight Falls,6,208567.95953032,SEN,0,14,540.454,jpz4HNmwFXZBt93r,44,Geethdwarf
Midnight Falls,7,206230.20207038,DR,14,0,547.532,9DhR1njgK3VAFvrx,2,Членвнутри
Midnight Falls,8,200464.48466771,SEN,0,14,524.351,y6k18NWqTnJXaMQb,9,Grebet
Midnight Falls,9,198424.56376925,DR,14,0,556.185,4rW9Jf6mbHAZCnzt,16,龍酒
Midnight Falls,10,197876.29423314,SEN,0,14,547.525,HM7TPfaWmXz3qC8Y,10,陈年风褛
Midnight Falls,11,197640.44425942,SEN,0,14,538.064,W6cHZG7dCnrMB2pY,22,来感觉了吗
Midnight Falls,12,197059.41616775,DR,14,0,546.013,y2ctzhbTaM63vLPn,17,Banshers
Midnight Falls,13,196201.64220277,SEN,0,14,541.955,W4fFDBbMLAtQkZHz,56,Bîstand
Midnight Falls,14,195717.49789368,DR,14,0,559.033,4pHmMRhJVFr6T7kL,41,태우스
Midnight Falls,15,192185.9998037,DR,14,0,550.178,1KJxRgmQb8GpXycF,3,Капитанкокос
Midnight Falls,16,190994.06546098,SEN,0,14,546.799,8jRNKnZp2YM4g9rQ,39,Diddy
Midnight Falls,17,190944.21167112,SEN,0,14,573.758,W8MpVn7ArkBmQDw9,4,诗忆丶
Midnight Falls,18,190544.64226762,DR,14,0,560.377,VQAdG4FnZ16vkbwT,40,米咕咕饲养员
Midnight Falls,19,190142.22902294,SEN,0,14,526.742,dm4NWBpGtfqDXCzr,5,Snowhuntr
Midnight Falls,20,189814.21963361,SEN,0,14,567.272,NtPaJCF6nrMBZyKj,7,Neyebae
Midnight Falls,21,189438.2854875,DR,14,0,536.689,Lm4Kjd1DG9CXQHkp,42,돈내고똥먹기
Midnight Falls,22,186836.65559151,SEN,0,14,576.365,XdLr63VRamHqv4z8,12,仰望天空
Midnight Falls,23,185386.71171948,SEN,0,14,580.06,XdLr63VRamHqv4z8,63,丶小老弟
Midnight Falls,24,184350.96589364,SEN,0,14,577.341,DtyMFGcKTvrP8zW7,2,春日影七
Midnight Falls,25,183165.5531272,DR,14,0,545.408,VYKaWgMyk716CxLd,25,Iryu
Midnight Falls,26,183019.44621059,SEN,0,14,583.507,AJf8DXYMbrVPyg4F,79,春日影
Midnight Falls,27,182529.16091176,SEN,0,14,553.875,mFrj18GfDAzPKdpC,8,Chazh
Midnight Falls,28,181336.73536169,SEN,0,14,580.634,Ptw4fqRnJKBcD7NG,28,小木槿
Midnight Falls,29,181197.52151296,SEN,0,14,578.256,n3LMNZCVP7vfmHz9,42,春日影八
Midnight Falls,30,180551.11399162,SEN,0,14,573.972,XdLr63VRamHqv4z8,77,墨梅丶逸漫雨
Midnight Falls,31,180194.09181244,DR,14,0,548.967,YDTK7VmZRCL2wynz,36,Holex
Midnight Falls,32,179795.00659325,SEN,0,14,572.555,XdLr63VRamHqv4z8,46,我左边画个龙
Midnight Falls,33,179564.53340684,SEN,0,14,573.176,d72NwDB6JHkzCaYh,19,Emote
Midnight Falls,38,177654.24430283,SEN,0,14,577.48,n3LMNZCVP7vfmHz9,17,Hoshinov
Midnight Falls,39,177364.79585663,SEN,0,14,578.466,QXxvA4rTVqCkbfmM,92,萌之上三
Midnight Falls,42,175541.14360364,SEN,0,14,580.236,vhr1JLBzcAGVFQ2x,7,Zyraní
Midnight Falls,44,173244.51976361,SEN,0,14,586.836,ArdJy1mBnKYCQ3qP,45,萌之上
Midnight Falls,47,170121.28896586,SEN,0,14,582.048,AJf8DXYMbrVPyg4F,51,萌之上
Midnight Falls,50,168083.60647008,SEN,0,14,544.599,CDWM8nbyQ1L4Ra2Z,23,Tonytpoggers
Midnight Falls,52,164788.55381268,SEN,0,14,551.45,f1kqc3KtNFBay9Hr,75,Storcken
Midnight Falls,53,163538.89462257,SEN,0,14,551.323,XqAaz9tvjTQ4n1ZY,22,Theshý
Midnight Falls,54,163361.89698995,SEN,0,14,577.167,yAdq2ZnxLb1XHCmk,11,新的厚米丶
Midnight Falls,55,162601.25010904,SEN,0,14,596.108,hW1g8ntG4KXcdayT,48,赤沐晴子
Midnight Falls,56,162262.6559958,SEN,0,14,564.278,wD9hFpyvz681JAmZ,13,Timbahunt
Midnight Falls,58,159345.8558278,SEN,0,14,577.92,xtrVB78Ab62kjmvX,22,Lavosheppe
Midnight Falls,59,156092.49292738,SEN,0,14,564.854,A4knHPYymTpqVtjW,22,窝腰验排
Midnight Falls,60,154512.0917917,SEN,0,14,577.83,yTQV3cv4qMHhXZL6,4,Nutfast
Midnight Falls,61,154083.94227068,SEN,0,14,581.888,bXvg8q6TmWHMncKV,18,Pasoh
Midnight Falls,62,153760.43905488,SEN,0,14,569.496,wD4cPMFgTjkXqtxN,17,Zeodude
Midnight Falls,63,153167.31297843,SEN,0,14,595.172,yqZLtFMKf3CVrhAm,18,丹妮利斯
Midnight Falls,64,147450.1214545,SEN,0,14,596.108,hW1g8ntG4KXcdayT,48,母鸡大侠
Midnight Falls,65,142886.16547517,SEN,0,14,575.748,wpgGTcYBnKV2aHM1,49,苏小粥
Midnight Falls,66,139860.65134298,SEN,0,14,578.19,Rd3rZhTVbcq4xBLA,27,Enâel
