zone_id,zone_name,encounter_id,encounter_name,partition,partition_name,difficulty,difficulty_id,rank,character,server,region,guild,dps,ilvl,duration_ms,report_id,fight_id,start_time,source_id,crit,haste,mastery,vers,haste_pct,aoe_build,talent_ids,nodes
50,Sporefall,3159,Rotmire,1,12.0.7,mythic,5,31,Tayleye,Draenor,EU,blazing halo,176082.63675128,290,502573,Y9rMRWg6JXDPA3yK,10,1781812785750,56,1182,552,807,153,12.55,True,117559 117563 117564 117566 117569 117576 117581 117582 117585 117589 123347 126352 126397 126401 126402 126404 126405 126408 126409 126415 126416 126418 126419 126420 126424 126431 126433 126436 126437 126440 126443 126444 126447 126450 126453 126454 126459 126460 126461 126465 126470 126473 126475 126481 126489 126490 126406 135705 135708 135710 135711 135712 136060 136061 136236 136677 136679 136685 137050 137051 137052 117588 126488 126399 126403 126417 126421 126425 126426 126432 126434 126452 135704 126480 135706,94962 94966 94967 94969 94972 94979 94984 94985 94988 94992 99832 102292 102336 102339 102340 102342 102343 102346 102347 102353 102354 102356 102357 102358 102362 102368 102370 102373 102374 102377 102380 102381 102384 102387 102390 102391 102395 102396 102397 102401 102406 102409 102411 102416 102423 102424 102344 109483 109485 109487 109488 109489 109802 109803 109804 110157 110158 110164 110428 110428 110428 94991 102422 102338 102341 102355 102359 102363 102364 102369 102371 102389 102394 102415 109484
50,Sporefall,3159,Rotmire,1,12.0.7,mythic,5,32,Nkuma,白银之手,CN,,175865.79588276,291,495186,PdXcB4qwK7nzWk8D,36,1781758960639,2845,1240,245,1270,0,5.57,True,117559 117563 117566 117569 117576 117581 117582 117585 117589 123347 126399 126401 126404 117564 126352 126397 126402 126403 126405 126408 126409 126416 126417 126418 126420 126421 126426 126431 126419 126424 126425 126432 126433 126434 126436 126447 126437 126440 126443 126444 126450 126452 126453 126454 126459 126460 126461 126465 126470 126473 126475 126481 126489 126490 135706 136060 136061 136236 136676 126484 135712 135705 135708 135710 136677 136679 137050 137051 137052 136685 117588 126488 126406 126415,94962 94966 94969 94972 94979 94984 94985 94988 94992 99832 102338 102339 102342 94967 102292 102336 102340 102341 102343 102346 102347 102354 102355 102356 102358 102359 102364 102368 102357 102362 102363 102369 102370 102371 102373 102384 102374 102377 102380 102381 102387 102389 102390 102391 102395 102396 102397 102401 102406 102409 102411 102416 102423 102424 109484 109802 109803 109804 110156 102419 109489 109483 109485 109487 110157 110158 110428 110428 110428 110164 94991 102422 102344 102353
50,Sporefall,3159,Rotmire,1,12.0.7,mythic,5,33,Lay,冰霜之刺,TW,PanDemoniuM,175418.33190334,291,458043,FgJcGzqpX69h4vmY,54,1781784435218,1294,1197,472,1881,52,10.73,True,117559 117563 117564 117566 117569 117576 117581 117582 117585 117589 123347 126352 126397 126399 126401 126402 126403 126404 126405 126408 126409 126415 126416 126417 126418 126419 126420 126421 126424 126425 126426 126431 126432 126433 126434 126436 126437 126440 126443 126444 126447 126450 126452 126453 126454 126460 126461 126465 126468 126470 126473 126475 126481 126489 126490 135705 135706 135708 135710 135711 136060 136061 136236 136677 136679 136685 137050 137051 137052 117588 126488 126406 135704 126459,94962 94966 94967 94969 94972 94979 94984 94985 94988 94992 99832 102292 102336 102338 102339 102340 102341 102342 102343 102346 102347 102353 102354 102355 102356 102357 102358 102359 102362 102363 102364 102368 102369 102370 102371 102373 102374 102377 102380 102381 102384 102387 102389 102390 102391 102396 102397 102401 102404 102406 102409 102411 102416 102423 102424 109483 109484 109485 109487 109488 109802 109803 109804 110157 110158 110164 110428 110428 110428 94991 102422 102344 102394 102395
50,Sporefall,3159,Rotmire,1,12.0.7,mythic,5,34,枫叶红漫天,凤凰之神,CN,,175260.30094673,290,372757,XfaLvDxzP2FJR9b3,15,1781758789980,299,1119,457,1150,0,10.39,True,136236 137052 126404 117564 126453 126459 126460 126490 126352 126397 135705 126415 126418 126419 126420 126424 126431 126433 135708 126436 135710 136060 136061 126437 126443 126447 117576 123347 136677 136679 126402 126408 126409 126416 126465 126470 126475 126489 126440 126444 137050 117585 126468 137051 117559 117563 117566 117569 117581 117582 117589 126405 126450 126454 126473 126481 136685 135709 126484 136675 126425 126399 126401 126403 126406 126417 126421 126426 126432 126434 126461 135711 135712 117588 126488,109804 110428 102342 94967 102390 102395 102396 102424 102292 102336 109483 102353 102356 102357 102358 102362 102368 102370 109485 102373 109487 109802 109803 102374 102380 102384 94979 99832 110157 110158 102340 102346 102347 102354 102401 102406 102411 102423 102377 102381 110428 94988 102404 110428 94962 94966 94969 94972 94984 94985 94992 102343 102387 102391 102409 102416 110164 109486 102419 110155 102363 102338 102339 102341 102344 102355 102359 102364 102369 102371 102397 109488 109489 94991 102422
50,Sporefall,3159,Rotmire,1,12.0.7,mythic,5,35,Superbo,影之哀伤,CN,,175191.6998949,290,429103,V7hJFdpRxK1GNzMY,10,1781782698480,127,1238,319,1031,143,7.25,True,126468 126402 126408 126409 126416 126440 126444 126465 126470 126475 126489 136685 126405 126450 126415 126352 126397 126404 126418 126419 126424 126431 126433 126436 126437 126443 126447 126453 126454 126460 126461 126473 126481 126490 135708 135710 136677 136679 137052 137051 137050 135705 117582 135706 117559 117563 117564 117566 117569 117576 117581 117585 117589 123347 126420 136060 136061 136236 126401 117588 126488 126399 126403 126417 126421 126425 126426 126432 126434 135704 126480 135712 136675,102404 102340 102346 102347 102354 102377 102381 102401 102406 102411 102423 110164 102343 102387 102353 102292 102336 102342 102356 102357 102362 102368 102370 102373 102374 102380 102384 102390 102391 102396 102397 102409 102416 102424 109485 109487 110157 110158 110428 110428 110428 109483 94985 109484 94962 94966 94967 94969 94972 94979 94984 94988 94992 99832 102358 109802 109803 109804 102339 94991 102422 102338 102341 102355 102359 102363 102364 102369 102371 102394 102415 109489 110155
50,Sporefall,3159,Rotmire,1,12.0.7,mythic,5,36,射畜丷,金色平原,CN,,175053.70821259,291,483818,v3m8CQqdyx9XF12Z,13,1781795327377,464,1270,99,2134,121,2.25,True,126431 126475 126470 126409 126416 126440 126489 126465 126402 126444 126408 126352 126397 126419 126433 126436 126437 126443 126447 126453 126460 126490 135708 135710 136677 136679 126452 126461 135706 126405 117569 123347 126420 117566 117559 117563 117564 117581 117582 117585 117589 136685 126454 126468 126481 137052 117576 126404 126450 126473 136060 136061 136236 137051 137050 126415 126424 135705 126418 126399 126401 126403 126406 126417 126421 126425 126426 126432 126434 135704 135712 136673 117588 126488,102368 102411 102406 102347 102354 102377 102423 102401 102340 102381 102346 102292 102336 102357 102370 102373 102374 102380 102384 102390 102396 102424 109485 109487 110157 110158 102389 102397 109484 102343 94972 99832 102358 94969 94962 94966 94967 94984 94985 94988 94992 110164 102391 102404 102416 110428 94979 102342 102387 102409 109802 109803 109804 110428 110428 102353 102362 109483 102356 102338 102339 102341 102344 102355 102359 102363 102364 102369 102371 102394 109489 110154 94991 102422
50,Sporefall,3159,Rotmire,1,12.0.7,mythic,5,37,레고레이레디숭숭,아즈샤라,KR,록 타 르,174749.24248497,290,436625,ZhAKpcFCYq8xwDyR,4,1781784216139,19,1060,425,1944,52,9.66,True,117559 117563 117564 117566 117569 117576 117581 117582 117585 117589 123347 126352 126397 126399 126401 126402 126403 126404 126405 126406 126408 126409 126415 126416 126417 126418 126419 126420 126421 126424 126425 126426 126431 126432 126433 126434 126436 126437 126440 126443 126444 126447 126450 126452 126453 126454 126459 126460 126461 126465 126468 126470 126473 126475 126481 126489 126490 135704 135705 135706 135708 135710 135712 136060 136061 136236 136675 136677 136679 136685 137050 137051 137052 117588 126488,94962 94966 94967 94969 94972 94979 94984 94985 94988 94992 99832 102292 102336 102338 102339 102340 102341 102342 102343 102344 102346 102347 102353 102354 102355 102356 102357 102358 102359 102362 102363 102364 102368 102369 102370 102371 102373 102374 102377 102380 102381 102384 102387 102389 102390 102391 102395 102396 102397 102401 102404 102406 102409 102411 102416 102423 102424 102394 109483 109484 109485 109487 109489 109802 109803 109804 110155 110157 110158 110164 110428 110428 110428 94991 102422
50,Sporefall,3159,Rotmire,1,12.0.7,mythic,5,38,Chseeifl,凤凰之神,CN,你为什么不和我打游戏,174737.52414309,291,432836,VQJ1NdDrY7TxhXFZ,31,1781784946385,13,1377,450,893,0,10.23,True,126444 126402 126408 126409 126416 126440 126465 126470 126475 123347 126415 126418 137050 135706 117564 126489 117559 117563 117582 117585 117589 117569 117566 117581 126447 126405 126433 117576 126352 126397 126404 126419 126420 126424 126431 126436 126437 126443 126450 126453 126454 126460 126468 126473 126481 126490 135705 135708 135710 136060 136061 136236 136677 136679 136685 137052 137051 126399 126401 126403 126406 126417 126421 126425 126426 126432 126434 126452 126484 135712 136675 126461 117588 126488,102381 102340 102346 102347 102354 102377 102401 102406 102411 99832 102353 102356 110428 109484 94967 102423 94962 94966 94985 94988 94992 94972 94969 94984 102384 102343 102370 94979 102292 102336 102342 102357 102358 102362 102368 102373 102374 102380 102387 102390 102391 102396 102404 102409 102416 102424 109483 109485 109487 109802 109803 109804 110157 110158 110164 110428 110428 102338 102339 102341 102344 102355 102359 102363 102364 102369 102371 102389 102419 109489 110155 102397 94991 102422
50,Sporefall,3159,Rotmire,1,12.0.7,mythic,5,39,Tednug,Twisting Nether,EU,TERRA,174690.50788363,291,412437,qaDxQWXNrJ9MPmbn,20,1781688130322,1,1039,420,2052,117,9.55,True,117559 117563 117564 117566 117569 117576 117581 117582 117585 117589 123347 126352 126397 126399 126401 126402 126403 126404 126405 126406 126408 126409 126415 126416 126417 126418 126419 126420 126421 126424 126425 126426 126431 126432 126433 126434 126436 126437 126440 126443 126444 126447 126450 126452 126453 126454 126459 126460 126461 126465 126468 126470 126473 126475 126481 126484 126489 126490 135705 135708 135710 135711 136060 136061 136236 136675 136676 136677 136679 136686 137050 137051 137052 117588 126488,94962 94966 94967 94969 94972 94979 94984 94985 94988 94992 99832 102292 102336 102338 102339 102340 102341 102342 102343 102344 102346 102347 102353 102354 102355 102356 102357 102358 102359 102362 102363 102364 102368 102369 102370 102371 102373 102374 102377 102380 102381 102384 102387 102389 102390 102391 102395 102396 102397 102401 102404 102406 102409 102411 102416 102419 102423 102424 109483 109485 109487 109488 109802 109803 109804 110155 110156 110157 110158 110164 110428 110428 110428 94991 102422
50,Sporefall,3159,Rotmire,1,12.0.7,mythic,5,40,上吧小德,白银之手,CN,,174601.83560254,289,480932,6JAfbndCRw23WzPc,1,1781791104912,15,1264,327,1122,0,7.43,True,117559 117563 117564 117566 117569 117576 117581 117582 117585 117589 123347 126352 126397 126420 126424 126425 126399 126401 126402 126408 126409 126416 126403 126406 126417 126421 126404 126405 126419 126415 126418 126426 126432 126433 126434 126440 126444 126447 126452 126460 126431 126436 126443 126453 126437 126450 126454 126465 126473 126475 126484 126489 126490 135704 135708 135710 135712 136060 136061 136236 136676 136677 136679 137050 137051 137052 126461 126468 126470 126481 135706 136685 117588 126488,94962 94966 94967 94969 94972 94979 94984 94985 94988 94992 99832 102292 102336 102358 102362 102363 102338 102339 102340 102346 102347 102354 102341 102344 102355 102359 102342 102343 102357 102353 102356 102364 102369 102370 102371 102377 102381 102384 102389 102396 102368 102373 102380 102390 102374 102387 102391 102401 102409 102411 102419 102423 102424 102394 109485 109487 109489 109802 109803 109804 110156 110157 110158 110428 110428 110428 102397 102404 102406 102416 109484 110164 94991 102422
